TPS,Espacement,Densite,id plante,id talle,topology,nb_feuille_emergees,Biomasse_feuilles_emergees,Surface_feuilles_emergees
3.0,50.0,400,1,1,"(0,)",1,0.0,4.453451233985471
3.0,50.0,400,2,1,"(0,)",1,0.0,4.453451233985471
3.0,50.0,400,3,1,"(0,)",1,0.0,4.453451233985471
3.0,50.0,400,4,1,"(0,)",1,0.0,4.453451233985471
4.0,50.0,400,1,1,"(0,)",1,2.9775056689749364e-11,4.453451233985471
4.0,50.0,400,2,1,"(0,)",1,2.9775056689749364e-11,4.453451233985471
4.0,50.0,400,3,1,"(0,)",1,2.9775056689749364e-11,4.453451233985471
4.0,50.0,400,4,1,"(0,)",1,2.9775056689749364e-11,4.453451233985471
5.0,50.0,400,1,1,"(0,)",1,5.312084635409297e-10,4.453451233985471
5.0,50.0,400,2,1,"(0,)",1,5.312084635409297e-10,4.453451233985471
5.0,50.0,400,3,1,"(0,)",1,5.312084635409297e-10,4.453451233985471
5.0,50.0,400,4,1,"(0,)",1,5.312084635409297e-10,4.453451233985471
6.0,50.0,400,1,1,"(0,)",1,2.8581185512674413e-09,4.453451233985471
6.0,50.0,400,2,1,"(0,)",1,2.8581185512674413e-09,4.453451233985471
6.0,50.0,400,3,1,"(0,)",1,2.8581185512674413e-09,4.453451233985471
6.0,50.0,400,4,1,"(0,)",1,2.8581185512674413e-09,4.453451233985471
7.0,50.0,400,1,1,"(0,)",1,9.413277238795506e-09,4.453451233985471
7.0,50.0,400,2,1,"(0,)",1,9.413277238795506e-09,4.453451233985471
7.0,50.0,400,3,1,"(0,)",1,9.413277238795506e-09,4.453451233985471
7.0,50.0,400,4,1,"(0,)",1,9.413277238795506e-09,4.453451233985471
8.0,50.0,400,1,1,"(0,)",1,2.36916877414191e-08,4.453451233985471
8.0,50.0,400,2,1,"(0,)",1,2.36916877414191e-08,4.453451233985471
8.0,50.0,400,3,1,"(0,)",1,2.36916877414191e-08,4.453451233985471
8.0,50.0,400,4,1,"(0,)",1,2.36916877414191e-08,4.453451233985471
9.0,50.0,400,1,1,"(0,)",1,5.029933929022587e-08,4.453451233985471
9.0,50.0,400,2,1,"(0,)",1,5.029933929022587e-08,4.453451233985471
9.0,50.0,400,3,1,"(0,)",1,5.029933929022587e-08,4.453451233985471
9.0,50.0,400,4,1,"(0,)",1,5.029933929022587e-08,4.453451233985471
10.0,50.0,400,1,1,"(0,)",1,9.495828034305587e-08,4.453451233985471
10.0,50.0,400,2,1,"(0,)",1,9.495828034305587e-08,4.453451233985471
10.0,50.0,400,3,1,"(0,)",1,9.495828034305587e-08,4.453451233985471
10.0,50.0,400,4,1,"(0,)",1,9.495828034305587e-08,4.453451233985471
11.0,50.0,400,1,1,"(0,)",1,1.6450269357651693e-07,4.453451233985471
11.0,50.0,400,2,1,"(0,)",1,1.6450269357651693e-07,4.453451233985471
11.0,50.0,400,3,1,"(0,)",1,1.6450269357651693e-07,4.453451233985471
11.0,50.0,400,4,1,"(0,)",1,1.6450269357651693e-07,4.453451233985471
12.0,50.0,400,1,1,"(0,)",1,2.668685507666044e-07,4.453451233985471
12.0,50.0,400,2,1,"(0,)",1,2.668685507666044e-07,4.453451233985471
12.0,50.0,400,3,1,"(0,)",1,2.668685507666044e-07,4.453451233985471
12.0,50.0,400,4,1,"(0,)",1,2.668685507666044e-07,4.453451233985471
13.0,50.0,400,1,1,"(0,)",1,4.110784726556846e-07,4.453451233985471
13.0,50.0,400,2,1,"(0,)",1,4.110784726556846e-07,4.453451233985471
13.0,50.0,400,3,1,"(0,)",1,4.110784726556846e-07,4.453451233985471
13.0,50.0,400,4,1,"(0,)",1,4.110784726556846e-07,4.453451233985471
14.0,50.0,400,1,1,"(0,)",1,6.072229182176874e-07,4.453451233985471
14.0,50.0,400,2,1,"(0,)",1,6.072229182176874e-07,4.453451233985471
