temp_vern_min,temp_vern_inter,temp_vern_max,daily_vern_rate,photoperiod_min,photoperiod_max,coeff_primordia_emission_vegetative,derivationLength,option_tallage,option_senescence,option_floraison,cutting_height,cutting_end,HCOUP,meteo_filename,cutting_dates,PS_compensation_point,leaf_primary_induction_coeff,value_C,leaf_number_max,PPRM,coeff_primordia_emission_reproductive,leaf_secondary_induction_coeff,increase_growth_C,Premiecroiss,increase_growth_Premiecroiss,site,sowing_date,Scenario,name
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,ERDRE-EN-ANJOU,2009_09_15,1,simulation_1
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,ERDRE-EN-ANJOU,2012_09_15,2,simulation_2
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,ERDRE-EN-ANJOU,2016_09_15,3,simulation_3
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,GUYANCOURT,2007_09_15,4,simulation_4
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2007_09_15,5,simulation_5
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2008_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2008_09_15,6,simulation_6
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2009_09_15,7,simulation_7
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2010_09_15,8,simulation_8
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2011_09_15,9,simulation_9
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2012_09_15,10,simulation_10
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2014_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2014_09_15,11,simulation_11
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,LUSIGNAN,2016_09_15,12,simulation_12
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,PLOUDANIEL,2009_09_15,13,simulation_13
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,PLOUDANIEL,2010_09_15,14,simulation_14
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,PLOUDANIEL,2013_09_15,15,simulation_15
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,PLOUDANIEL,2015_09_15,16,simulation_16
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2006_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2006_09_15,17,simulation_17
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2007_09_15,18,simulation_18
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2010_09_15,19,simulation_19
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2011_09_15,20,simulation_20
