temp_vern_min,temp_vern_inter,temp_vern_max,daily_vern_rate,photoperiod_min,photoperiod_max,coeff_primordia_emission_vegetative,derivationLength,option_tallage,option_senescence,option_floraison,cutting_height,cutting_end,HCOUP,meteo_filename,cutting_dates,PS_compensation_point,leaf_primary_induction_coeff,value_C,leaf_number_max,PPRM,coeff_primordia_emission_reproductive,leaf_secondary_induction_coeff,increase_growth_C,Premiecroiss,increase_growth_Premiecroiss,site,sowing_date,Scenario,name
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2012_09_15,21,simulation_21
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2013_09_15,22,simulation_22
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2015_09_15,23,simulation_23
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2016_09_15,24,simulation_24
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2005_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,EXMES,2005_09_15,25,simulation_25
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2002_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,EXMES,2002_09_15,26,simulation_26
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.05,THEIX,2009_09_15,27,simulation_27
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,ERDRE-EN-ANJOU,2009_09_15,28,simulation_28
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,ERDRE-EN-ANJOU,2012_09_15,29,simulation_29
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,ERDRE-EN-ANJOU,2016_09_15,30,simulation_30
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,GUYANCOURT,2007_09_15,31,simulation_31
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2007_09_15,32,simulation_32
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2008_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2008_09_15,33,simulation_33
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2009_09_15,34,simulation_34
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2010_09_15,35,simulation_35
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2011_09_15,36,simulation_36
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2012_09_15,37,simulation_37
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2014_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2014_09_15,38,simulation_38
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,LUSIGNAN,2016_09_15,39,simulation_39
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,PLOUDANIEL,2009_09_15,40,simulation_40
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,PLOUDANIEL,2010_09_15,41,simulation_41
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,PLOUDANIEL,2013_09_15,42,simulation_42
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,PLOUDANIEL,2015_09_15,43,simulation_43
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2006_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2006_09_15,44,simulation_44
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2007_09_15,45,simulation_45
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2010_09_15,46,simulation_46
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2011_09_15,47,simulation_47
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2012_09_15,48,simulation_48
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2013_09_15,49,simulation_49
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2015_09_15,50,simulation_50
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2016_09_15,51,simulation_51
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2005_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,EXMES,2005_09_15,52,simulation_52
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2002_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,EXMES,2002_09_15,53,simulation_53
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.34,THEIX,2009_09_15,54,simulation_54
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,ERDRE-EN-ANJOU,2009_09_15,55,simulation_55
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,ERDRE-EN-ANJOU,2012_09_15,56,simulation_56
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,ERDRE-EN-ANJOU,2016_09_15,57,simulation_57
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,GUYANCOURT,2007_09_15,58,simulation_58
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2007_09_15,59,simulation_59
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2008_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2008_09_15,60,simulation_60
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2009_09_15,61,simulation_61
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2010_09_15,62,simulation_62
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2011_09_15,63,simulation_63
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2012_09_15,64,simulation_64
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2014_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2014_09_15,65,simulation_65
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,LUSIGNAN,2016_09_15,66,simulation_66
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,PLOUDANIEL,2009_09_15,67,simulation_67
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,PLOUDANIEL,2010_09_15,68,simulation_68
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,PLOUDANIEL,2013_09_15,69,simulation_69
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,PLOUDANIEL,2015_09_15,70,simulation_70
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2006_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2006_09_15,71,simulation_71
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2007_09_15,72,simulation_72
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2010_09_15,73,simulation_73
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2011_09_15,74,simulation_74
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2012_09_15,75,simulation_75
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2013_09_15,76,simulation_76
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2015_09_15,77,simulation_77
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2016_09_15,78,simulation_78
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2005_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,EXMES,2005_09_15,79,simulation_79
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2002_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,EXMES,2002_09_15,80,simulation_80
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.63,THEIX,2009_09_15,81,simulation_81
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,ERDRE-EN-ANJOU,2009_09_15,82,simulation_82
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,ERDRE-EN-ANJOU,2012_09_15,83,simulation_83
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,ERDRE-EN-ANJOU,2016_09_15,84,simulation_84
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,GUYANCOURT,2007_09_15,85,simulation_85
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2007_09_15,86,simulation_86
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2008_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2008_09_15,87,simulation_87
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2009_09_15,88,simulation_88
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2010_09_15,89,simulation_89
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2011_09_15,90,simulation_90
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2012_09_15,91,simulation_91
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2014_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2014_09_15,92,simulation_92
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,LUSIGNAN,2016_09_15,93,simulation_93
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,PLOUDANIEL,2009_09_15,94,simulation_94
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,PLOUDANIEL,2010_09_15,95,simulation_95
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,PLOUDANIEL,2013_09_15,96,simulation_96
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,PLOUDANIEL,2015_09_15,97,simulation_97
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2006_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2006_09_15,98,simulation_98
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2007_09_15,99,simulation_99
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2010_09_15,100,simulation_100
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2011_09_15,101,simulation_101
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2012_09_15,102,simulation_102
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2013_09_15,103,simulation_103
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2015_09_15,104,simulation_104
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2016_09_15,105,simulation_105
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2005_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,EXMES,2005_09_15,106,simulation_106
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2002_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,EXMES,2002_09_15,107,simulation_107
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,0.92,THEIX,2009_09_15,108,simulation_108
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,ERDRE-EN-ANJOU,2009_09_15,109,simulation_109
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,ERDRE-EN-ANJOU,2012_09_15,110,simulation_110
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,ERDRE-EN-ANJOU,2016_09_15,111,simulation_111
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,GUYANCOURT,2007_09_15,112,simulation_112
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2007_09_15,113,simulation_113
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2008_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2008_09_15,114,simulation_114
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2009_09_15,115,simulation_115
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2010_09_15,116,simulation_116
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2011_09_15,117,simulation_117
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2012_09_15,118,simulation_118
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2014_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2014_09_15,119,simulation_119
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,LUSIGNAN,2016_09_15,120,simulation_120
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,PLOUDANIEL,2009_09_15,121,simulation_121
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,PLOUDANIEL,2010_09_15,122,simulation_122
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,PLOUDANIEL,2013_09_15,123,simulation_123
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,PLOUDANIEL,2015_09_15,124,simulation_124
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2006_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2006_09_15,125,simulation_125
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2007_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2007_09_15,126,simulation_126
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2010_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2010_09_15,127,simulation_127
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2011_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2011_09_15,128,simulation_128
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2012_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2012_09_15,129,simulation_129
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2013_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2013_09_15,130,simulation_130
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2015_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2015_09_15,131,simulation_131
-3,4,12,0.0425,11,11,1,7000,False,False,True,,,50,Meteo_GEVES.csv,2016_11_15,14.1,1,1,20,0.1,4.5,1,1,80,1.21,THEIX,2016_09_15,132,simulation_132
