temp_vern_min,temp_vern_inter,temp_vern_max,coeff_primordia_emission_vegetative,derivationLength,option_tallage,option_senescence,option_floraison,cutting_height,cutting_end,HCOUP,meteo_filename,cutting_dates,PS_compensation_point,leaf_primary_induction_coeff,leaf_secondary_induction_coeff,Premiecroiss,daily_vern_rate,leaf_number_max,PPRM,coeff_primordia_emission_reproductive,increase_growth_Premiecroiss,photoperiod_min,combinaison,site,sowing_date,photoperiod_max,value_C,increase_growth_C,Scenario,name
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.048,21,0.64,3,1.21,11.6,1,PLOUDANIEL,2009_09_15,11.6,1,1,1,simulation_1
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.048,15,0.64,3,1.21,11.6,2,PLOUDANIEL,2009_09_15,11.6,1,1,2,simulation_2
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.048,15,0.64,3,1.21,11.6,3,PLOUDANIEL,2009_09_15,11.6,1,1,3,simulation_3
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.048,15,0.64,6,1.21,11.6,4,PLOUDANIEL,2009_09_15,11.6,1,1,4,simulation_4
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.048,15,0.64,6,1.21,10.4,5,PLOUDANIEL,2009_09_15,10.4,1,1,5,simulation_5
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.015,15,0.64,6,1.21,10.4,6,PLOUDANIEL,2009_09_15,10.4,1,1,6,simulation_6
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.015,15,0.1,6,1.21,10.4,7,PLOUDANIEL,2009_09_15,10.4,1,1,7,simulation_7
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.015,15,0.1,6,0.34,10.4,8,PLOUDANIEL,2009_09_15,10.4,1,1,8,simulation_8
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.037,25,0.82,6,1.21,10.4,9,PLOUDANIEL,2009_09_15,10.4,1,1,9,simulation_9
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,88,0.037,25,0.28,6,1.21,10.4,10,PLOUDANIEL,2009_09_15,10.4,1,1,10,simulation_10
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.037,25,0.28,6,1.21,10.4,11,PLOUDANIEL,2009_09_15,10.4,1,1,11,simulation_11
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.037,25,0.28,6,0.34,10.4,12,PLOUDANIEL,2009_09_15,10.4,1,1,12,simulation_12
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.07,25,0.28,6,0.34,10.4,13,PLOUDANIEL,2009_09_15,10.4,1,1,13,simulation_13
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.07,19,0.28,6,0.34,10.4,14,PLOUDANIEL,2009_09_15,10.4,1,1,14,simulation_14
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.07,19,0.28,6,0.34,11.6,15,PLOUDANIEL,2009_09_15,11.6,1,1,15,simulation_15
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,112,0.07,19,0.28,3,0.34,11.6,16,PLOUDANIEL,2009_09_15,11.6,1,1,16,simulation_16
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,80,0.015,15,0.28,6,0.05,12.0,17,PLOUDANIEL,2009_09_15,12.0,1,1,17,simulation_17
-3,4,12,1,9000,False,False,True,,,50,Meteo_GEVES.csv,2009_11_15,14.1,1,1,80,0.015,15,0.28,6,0.92,12.0,18,PLOUDANIEL,2009_09_15,12.0,1,1,18,simulation_18
