date,site,mean_temperature,ETP,RR,daylength,Cut
2001_03_01,ERDRE-EN-ANJOU,2.55,1.1,0,11.07944444,NA
2001_03_02,ERDRE-EN-ANJOU,2.95,0.7,2.4,11.13611111,NA
2001_03_03,ERDRE-EN-ANJOU,4.6,1.2,4,11.19277778,NA
2001_03_04,ERDRE-EN-ANJOU,6.8,1.5,0.5,11.25,NA
2001_03_05,ERDRE-EN-ANJOU,5.65,1.4,0.1,11.30694444,NA
2001_03_06,ERDRE-EN-ANJOU,10.65,1,0.5,11.36444444,NA
2001_03_07,ERDRE-EN-ANJOU,12.95,1.4,11.4,11.42138889,NA
2001_03_08,ERDRE-EN-ANJOU,11.15,1.3,2.7,11.47861111,NA
2001_03_09,ERDRE-EN-ANJOU,10.95,1,6.3,11.53611111,NA
2001_03_10,ERDRE-EN-ANJOU,12.1,0.9,1.8,11.59333333,NA
2001_03_11,ERDRE-EN-ANJOU,13.25,0.8,4.5,11.65083333,NA
2001_03_12,ERDRE-EN-ANJOU,10.25,1.9,1.2,11.70861111,NA
2001_03_13,ERDRE-EN-ANJOU,8.8,0.9,11.4,11.76611111,NA
2001_03_14,ERDRE-EN-ANJOU,9.35,0.7,5.5,11.82361111,NA
2001_03_15,ERDRE-EN-ANJOU,13.2,1.9,0.2,11.88111111,NA
2001_03_16,ERDRE-EN-ANJOU,11.15,1.6,0,11.93888889,NA
2001_03_17,ERDRE-EN-ANJOU,8.4,0.7,2.4,11.99666667,NA
2001_03_18,ERDRE-EN-ANJOU,9.4,0.9,3.7,12.05416667,NA
2001_03_19,ERDRE-EN-ANJOU,6.45,0.5,11.1,12.11166667,NA
2001_03_20,ERDRE-EN-ANJOU,10,0.4,16.3,12.16944444,NA
2001_03_21,ERDRE-EN-ANJOU,13.35,1.4,10.4,12.22722222,NA
2001_03_22,ERDRE-EN-ANJOU,14.35,2.8,2.2,12.28472222,NA
2001_03_23,ERDRE-EN-ANJOU,14.2,2.4,0.2,12.3425,NA
2001_03_24,ERDRE-EN-ANJOU,12.5,1.2,5.5,12.4,NA
2001_03_25,ERDRE-EN-ANJOU,8.15,1.2,0.1,12.4575,NA
2001_03_26,ERDRE-EN-ANJOU,8,1.7,0.9,12.51527778,NA
2001_03_27,ERDRE-EN-ANJOU,10.7,1.5,5.6,12.5725,NA
2001_03_28,ERDRE-EN-ANJOU,10.35,1.8,15.1,12.63,NA
2001_03_29,ERDRE-EN-ANJOU,9.05,1.5,2,12.6875,NA
2001_03_30,ERDRE-EN-ANJOU,8.05,1.9,0,12.74472222,NA
2001_03_31,ERDRE-EN-ANJOU,11.45,1.8,0.2,12.80194444,NA
2001_04_01,ERDRE-EN-ANJOU,11.75,1.9,0,12.85888889,NA
2001_04_02,ERDRE-EN-ANJOU,15.15,2.9,1,12.91611111,NA
2001_04_03,ERDRE-EN-ANJOU,11.3,1.9,3.1,12.97305556,NA
2001_04_04,ERDRE-EN-ANJOU,9.6,1.8,5.1,13.03,NA
2001_04_05,ERDRE-EN-ANJOU,8.05,0.8,2.8,13.08666667,NA
2001_04_06,ERDRE-EN-ANJOU,12.45,1.2,4.8,13.14305556,NA
2001_04_07,ERDRE-EN-ANJOU,8.35,1.1,6.3,13.19972222,NA
2001_04_08,ERDRE-EN-ANJOU,10.4,2.7,0.1,13.25611111,NA
2001_04_09,ERDRE-EN-ANJOU,12.35,1.6,0.4,13.31222222,NA
2001_04_10,ERDRE-EN-ANJOU,10.75,2.1,1.2,13.36833333,NA
2001_04_11,ERDRE-EN-ANJOU,9.95,2.9,0,13.42416667,NA
2001_04_12,ERDRE-EN-ANJOU,8.55,2.2,0.2,13.48,NA
2001_04_13,ERDRE-EN-ANJOU,9.25,1.4,0,13.53555556,NA
2001_04_14,ERDRE-EN-ANJOU,5.65,2.1,0,13.59111111,NA
2001_04_15,ERDRE-EN-ANJOU,9.95,1.3,3.7,13.64638889,NA
2001_04_16,ERDRE-EN-ANJOU,9.2,3.1,0,13.70138889,NA
2001_04_17,ERDRE-EN-ANJOU,6.95,2.4,0,13.75583333,NA
2001_04_18,ERDRE-EN-ANJOU,9.75,2.1,0.3,13.81055556,NA
2001_04_19,ERDRE-EN-ANJOU,3.9,2,0.1,13.865,NA
2001_04_20,ERDRE-EN-ANJOU,5.25,2.2,0,13.91916667,NA
2001_04_21,ERDRE-EN-ANJOU,5.6,1.9,0.6,13.97277778,NA
2001_04_22,ERDRE-EN-ANJOU,7.3,1.4,23,14.02638889,NA
2001_04_23,ERDRE-EN-ANJOU,8.3,2.5,0.9,14.07972222,NA
2001_04_24,ERDRE-EN-ANJOU,12.15,1.7,1.8,14.13277778,NA
2001_04_25,ERDRE-EN-ANJOU,10.5,2.1,8.1,14.18527778,NA
2001_04_26,ERDRE-EN-ANJOU,11.5,2.6,1.3,14.2375,NA
2001_04_27,ERDRE-EN-ANJOU,12.75,2.8,0.8,14.28944444,NA
2001_04_28,ERDRE-EN-ANJOU,11.3,1,7.6,14.34111111,NA
2001_04_29,ERDRE-EN-ANJOU,12.25,2.9,1.4,14.3925,NA
2001_04_30,ERDRE-EN-ANJOU,9.75,1.1,22.1,14.44305556,NA
2001_05_01,ERDRE-EN-ANJOU,11.85,2.3,1.2,14.49388889,NA
2001_05_02,ERDRE-EN-ANJOU,12.6,1.8,16.5,14.54388889,NA
2001_05_03,ERDRE-EN-ANJOU,10.55,0.9,1.6,14.59305556,NA
2001_05_04,ERDRE-EN-ANJOU,9.3,1.2,1.9,14.64194444,NA
2001_05_05,ERDRE-EN-ANJOU,9.95,3.2,0,14.69055556,NA
2001_05_06,ERDRE-EN-ANJOU,8.7,2.8,0,14.73861111,NA
2001_05_07,ERDRE-EN-ANJOU,12.15,2.6,0,14.78611111,NA
2001_05_08,ERDRE-EN-ANJOU,13.5,2.8,0,14.83305556,NA
2001_05_09,ERDRE-EN-ANJOU,14.65,1.4,2,14.87944444,NA
2001_05_10,ERDRE-EN-ANJOU,14.8,1.3,0.1,14.925,NA
2001_05_11,ERDRE-EN-ANJOU,16,3.8,0,14.97027778,NA
2001_05_12,ERDRE-EN-ANJOU,20.3,5.5,0,15.01472222,NA
2001_05_13,ERDRE-EN-ANJOU,15.9,3,0,15.05861111,NA
2001_05_14,ERDRE-EN-ANJOU,12.8,2.8,0,15.10166667,NA
2001_05_15,ERDRE-EN-ANJOU,13.85,2.3,0.3,15.14416667,NA
2001_05_16,ERDRE-EN-ANJOU,15.4,3.3,1.3,15.18611111,NA
2001_05_17,ERDRE-EN-ANJOU,12.95,3.6,0,15.22694444,NA
2001_05_18,ERDRE-EN-ANJOU,11.35,3,0,15.26722222,NA
2001_05_19,ERDRE-EN-ANJOU,12.6,3.8,0,15.30638889,NA
2001_05_20,ERDRE-EN-ANJOU,15.45,4.1,0,15.345,NA
2001_05_21,ERDRE-EN-ANJOU,17.2,5.6,0,15.38277778,NA
2001_05_22,ERDRE-EN-ANJOU,18.55,5.4,0,15.41944444,NA
2001_05_23,ERDRE-EN-ANJOU,18.75,5.2,0,15.45527778,NA
2001_05_24,ERDRE-EN-ANJOU,19.4,4.9,0,15.49027778,NA
2001_05_25,ERDRE-EN-ANJOU,16.8,3.8,0,15.52416667,NA
2001_05_26,ERDRE-EN-ANJOU,16.75,4,0,15.55722222,NA
2001_05_27,ERDRE-EN-ANJOU,18.5,4.9,0.2,15.58944444,NA
2001_05_28,ERDRE-EN-ANJOU,21.75,5.2,0,15.62027778,NA
2001_05_29,ERDRE-EN-ANJOU,22.25,5.8,0,15.65,NA
2001_05_30,ERDRE-EN-ANJOU,21.4,4.6,0,15.67888889,NA
2001_05_31,ERDRE-EN-ANJOU,15.9,4.5,0,15.70666667,NA
2001_06_01,ERDRE-EN-ANJOU,14.5,4.5,0,15.73333333,NA
2001_06_02,ERDRE-EN-ANJOU,16.3,3.9,0,15.75861111,NA
2001_06_03,ERDRE-EN-ANJOU,13.75,4.6,0,15.78277778,NA
2001_06_04,ERDRE-EN-ANJOU,15.45,5.2,0,15.80583333,NA
2001_06_05,ERDRE-EN-ANJOU,16.7,3.7,0.7,15.82777778,NA
2001_06_06,ERDRE-EN-ANJOU,16.25,4.3,0,15.84833333,NA
2001_06_07,ERDRE-EN-ANJOU,14.9,2.4,5.2,15.8675,NA
2001_06_08,ERDRE-EN-ANJOU,12.75,1,1.1,15.88555556,NA
2001_06_09,ERDRE-EN-ANJOU,13.95,4,0,15.90222222,NA
2001_06_10,ERDRE-EN-ANJOU,13.8,4.7,0,15.91777778,NA
2001_06_11,ERDRE-EN-ANJOU,14.3,4.3,0,15.93194444,NA
2001_06_12,ERDRE-EN-ANJOU,17.6,3.8,0,15.94472222,NA
2001_06_13,ERDRE-EN-ANJOU,17.2,3.9,0,15.95638889,NA
2001_06_14,ERDRE-EN-ANJOU,16.35,2.9,0,15.96638889,NA
2001_06_15,ERDRE-EN-ANJOU,15.25,2.3,2.3,15.97527778,NA
2001_06_16,ERDRE-EN-ANJOU,17.3,3.3,9.1,15.9825,NA
2001_06_17,ERDRE-EN-ANJOU,15.45,2.9,0.1,15.98861111,NA
2001_06_18,ERDRE-EN-ANJOU,15.3,3.7,0,15.99333333,NA
2001_06_19,ERDRE-EN-ANJOU,17.3,5.1,0,15.99638889,NA
2001_06_20,ERDRE-EN-ANJOU,20.25,6,0,15.99805556,NA
2001_06_21,ERDRE-EN-ANJOU,20.65,6,0,15.99888889,NA
2001_06_22,ERDRE-EN-ANJOU,20.6,6.1,0,15.99777778,NA
2001_06_23,ERDRE-EN-ANJOU,22.5,5.9,0,15.99527778,NA
2001_06_24,ERDRE-EN-ANJOU,22.3,6.2,0,15.99166667,NA
2001_06_25,ERDRE-EN-ANJOU,25.5,8.6,0,15.98638889,NA
2001_06_26,ERDRE-EN-ANJOU,22.65,6.1,0,15.98,NA
2001_06_27,ERDRE-EN-ANJOU,19.9,5,0,15.97194444,NA
2001_06_28,ERDRE-EN-ANJOU,18.85,4.5,0,15.96277778,NA
2001_06_29,ERDRE-EN-ANJOU,20.95,5.5,0,15.95222222,NA
2001_06_30,ERDRE-EN-ANJOU,20.65,5.1,0,15.94027778,NA
2001_07_01,ERDRE-EN-ANJOU,20.3,6,0,15.92694444,NA
2001_07_02,ERDRE-EN-ANJOU,23.2,7.3,0,15.9125,NA
2001_07_03,ERDRE-EN-ANJOU,25.15,6.2,0.4,15.89638889,NA
2001_07_04,ERDRE-EN-ANJOU,17.4,0.7,6.6,15.87916667,NA
2001_07_05,ERDRE-EN-ANJOU,19.25,2.2,0,15.86083333,NA
2001_07_06,ERDRE-EN-ANJOU,21.3,4,20.5,15.84111111,NA
2001_07_07,ERDRE-EN-ANJOU,16.45,2.1,1.1,15.82,NA
2001_07_08,ERDRE-EN-ANJOU,18.5,4.1,0.2,15.79805556,NA
2001_07_09,ERDRE-EN-ANJOU,18.3,3.6,0,15.77444444,NA
2001_07_10,ERDRE-EN-ANJOU,18.15,4.1,0.7,15.75,NA
2001_07_11,ERDRE-EN-ANJOU,18.55,5.7,2.5,15.72444444,NA
2001_07_12,ERDRE-EN-ANJOU,16.8,1.9,9.4,15.69777778,NA
2001_07_13,ERDRE-EN-ANJOU,14.45,1.3,37.2,15.66972222,NA
2001_07_14,ERDRE-EN-ANJOU,16.05,3.5,2.5,15.64055556,NA
2001_07_15,ERDRE-EN-ANJOU,15.35,4.3,0.2,15.61083333,NA
2001_07_16,ERDRE-EN-ANJOU,16.05,2.8,1.1,15.57944444,NA
2001_07_17,ERDRE-EN-ANJOU,16.05,2.1,16.4,15.5475,NA
2001_07_18,ERDRE-EN-ANJOU,15.4,1.6,15.1,15.51444444,NA
2001_07_19,ERDRE-EN-ANJOU,17.05,3.8,0,15.48027778,NA
2001_07_20,ERDRE-EN-ANJOU,14.8,3.5,0,15.44527778,NA
2001_07_21,ERDRE-EN-ANJOU,19.4,3.8,0,15.40944444,NA
2001_07_22,ERDRE-EN-ANJOU,19.9,4.7,0,15.37277778,NA
2001_07_23,ERDRE-EN-ANJOU,19.5,4.4,0,15.335,NA
2001_07_24,ERDRE-EN-ANJOU,19.55,4.8,0,15.29666667,NA
2001_07_25,ERDRE-EN-ANJOU,20.95,3.4,0,15.2575,NA
2001_07_26,ERDRE-EN-ANJOU,24,5,0,15.21722222,NA
2001_07_27,ERDRE-EN-ANJOU,23.4,3.2,8.2,15.17666667,NA
2001_07_28,ERDRE-EN-ANJOU,22.4,2.3,0.5,15.135,NA
2001_07_29,ERDRE-EN-ANJOU,24.5,4.9,0,15.09277778,NA
2001_07_30,ERDRE-EN-ANJOU,24.85,6.1,0,15.05,NA
2001_07_31,ERDRE-EN-ANJOU,23.75,5.6,0,15.00638889,NA
2001_08_01,ERDRE-EN-ANJOU,20.65,3.9,1.5,14.96222222,NA
2001_08_02,ERDRE-EN-ANJOU,21.7,3,9.3,14.9175,NA
2001_08_03,ERDRE-EN-ANJOU,19.6,4,0.5,14.87194444,NA
2001_08_04,ERDRE-EN-ANJOU,16.4,3.2,0,14.82583333,NA
2001_08_05,ERDRE-EN-ANJOU,17.9,1.7,2.6,14.77916667,NA
2001_08_06,ERDRE-EN-ANJOU,18.95,1.9,1.4,14.7325,NA
2001_08_07,ERDRE-EN-ANJOU,18.2,1.8,11.5,14.68472222,NA
2001_08_08,ERDRE-EN-ANJOU,17.7,3.5,0.1,14.63666667,NA
2001_08_09,ERDRE-EN-ANJOU,16.5,2.9,1.6,14.58805556,NA
2001_08_10,ERDRE-EN-ANJOU,14.7,3.7,0,14.53916667,NA
2001_08_11,ERDRE-EN-ANJOU,16.15,4.5,0,14.49,NA
2001_08_12,ERDRE-EN-ANJOU,18.55,4.5,0,14.44,NA
2001_08_13,ERDRE-EN-ANJOU,20.55,5.1,0,14.38972222,NA
2001_08_14,ERDRE-EN-ANJOU,23,3.7,0,14.33888889,NA
2001_08_15,ERDRE-EN-ANJOU,19.75,1.8,2.9,14.28805556,NA
2001_08_16,ERDRE-EN-ANJOU,19.05,4.3,0,14.23666667,NA
2001_08_17,ERDRE-EN-ANJOU,16.9,3.7,1.1,14.18527778,NA
2001_08_18,ERDRE-EN-ANJOU,18.65,1.6,9.1,14.13305556,NA
2001_08_19,ERDRE-EN-ANJOU,18.8,2.4,2.2,14.08083333,NA
2001_08_20,ERDRE-EN-ANJOU,18.45,3.2,0.3,14.02805556,NA
2001_08_21,ERDRE-EN-ANJOU,18.85,4.4,0,13.97527778,NA
2001_08_22,ERDRE-EN-ANJOU,22,4.3,0,13.92222222,NA
2001_08_23,ERDRE-EN-ANJOU,23.35,3.3,0,13.86888889,NA
2001_08_24,ERDRE-EN-ANJOU,24.9,4.9,0,13.815,NA
2001_08_25,ERDRE-EN-ANJOU,26.6,5.6,0,13.76111111,NA
2001_08_26,ERDRE-EN-ANJOU,24.4,1.5,0,13.70722222,NA
2001_08_27,ERDRE-EN-ANJOU,22.55,4.2,0,13.65305556,NA
2001_08_28,ERDRE-EN-ANJOU,20.1,4.1,0,13.59861111,NA
2001_08_29,ERDRE-EN-ANJOU,20.15,2.2,0.3,13.54388889,NA
2001_08_30,ERDRE-EN-ANJOU,17.75,2.6,2.1,13.48888889,NA
2001_08_31,ERDRE-EN-ANJOU,15.6,2.7,0.4,13.43416667,NA
2001_09_01,ERDRE-EN-ANJOU,15.85,2.9,0.2,13.37888889,NA
2001_09_02,ERDRE-EN-ANJOU,15.4,2.8,0,13.32388889,NA
2001_09_03,ERDRE-EN-ANJOU,14.8,0.8,10,13.26833333,NA
2001_09_04,ERDRE-EN-ANJOU,13.95,2.4,0.8,13.21277778,NA
2001_09_05,ERDRE-EN-ANJOU,13.4,2.9,0,13.15722222,NA
2001_09_06,ERDRE-EN-ANJOU,15.4,2,0.5,13.10138889,NA
2001_09_07,ERDRE-EN-ANJOU,13.65,2.6,0,13.04555556,NA
2001_09_08,ERDRE-EN-ANJOU,17.8,3.5,0.4,12.98972222,NA
2001_09_09,ERDRE-EN-ANJOU,14.25,3.1,0,12.93333333,NA
2001_09_10,ERDRE-EN-ANJOU,11.7,2.7,0.1,12.87722222,NA
2001_09_11,ERDRE-EN-ANJOU,13.3,2.9,0,12.82111111,NA
2001_09_12,ERDRE-EN-ANJOU,14.55,2.8,0.2,12.76444444,NA
2001_09_13,ERDRE-EN-ANJOU,15.2,1.8,4.8,12.70833333,NA
2001_09_14,ERDRE-EN-ANJOU,14.15,2.5,0.1,12.65166667,NA
2001_09_15,ERDRE-EN-ANJOU,13.5,2.7,0,12.59527778,NA
2001_09_16,ERDRE-EN-ANJOU,13.55,2.8,0,12.53861111,NA
2001_09_17,ERDRE-EN-ANJOU,11.15,2.3,0,12.48194444,NA
2001_09_18,ERDRE-EN-ANJOU,13.6,1.9,0.8,12.425,NA
2001_09_19,ERDRE-EN-ANJOU,14.15,1.2,0.1,12.36833333,NA
2001_09_20,ERDRE-EN-ANJOU,14.9,2,0.1,12.31166667,NA
2001_09_21,ERDRE-EN-ANJOU,13.2,2.6,0.1,12.25472222,NA
2001_09_22,ERDRE-EN-ANJOU,14.4,3.3,0,12.19805556,NA
2001_09_23,ERDRE-EN-ANJOU,13.65,2.7,0,12.14138889,NA
2001_09_24,ERDRE-EN-ANJOU,13.7,2.1,2.7,12.08444444,NA
2001_09_25,ERDRE-EN-ANJOU,12.95,1.3,4.6,12.02777778,NA
2001_09_26,ERDRE-EN-ANJOU,16.3,2.1,0.8,11.97083333,NA
2001_09_27,ERDRE-EN-ANJOU,16.8,2.3,0,11.91416667,NA
2001_09_28,ERDRE-EN-ANJOU,18.35,2.2,13.4,11.8575,NA
2001_09_29,ERDRE-EN-ANJOU,17.85,2.2,0.4,11.80083333,NA
2001_09_30,ERDRE-EN-ANJOU,16.3,1.4,7.9,11.74388889,NA
2001_10_01,ERDRE-EN-ANJOU,18.4,1.5,2.3,11.68694444,NA
2001_10_02,ERDRE-EN-ANJOU,20.55,3,8.3,11.63055556,NA
2001_10_03,ERDRE-EN-ANJOU,15.45,1.6,0.2,11.57388889,NA
2001_10_04,ERDRE-EN-ANJOU,14.4,1.5,0.2,11.5175,NA
2001_10_05,ERDRE-EN-ANJOU,15.4,1.2,2.7,11.46083333,NA
2001_10_06,ERDRE-EN-ANJOU,17.2,1.6,8.3,11.40444444,NA
2001_10_07,ERDRE-EN-ANJOU,15.75,2.4,10.8,11.34805556,NA
2001_10_08,ERDRE-EN-ANJOU,15.35,2.6,1.2,11.29194444,NA
2001_10_09,ERDRE-EN-ANJOU,13.6,1.7,0.5,11.23555556,NA
2001_10_10,ERDRE-EN-ANJOU,12.9,1.9,0.1,11.17944444,NA
2001_10_11,ERDRE-EN-ANJOU,13.5,2.3,0,11.12333333,NA
2001_10_12,ERDRE-EN-ANJOU,18.1,1.4,0,11.0675,NA
2001_10_13,ERDRE-EN-ANJOU,19.95,1.5,0.3,11.01166667,NA
2001_10_14,ERDRE-EN-ANJOU,15.95,1,6.8,10.95611111,NA
2001_10_15,ERDRE-EN-ANJOU,17,2.1,2.1,10.90027778,NA
2001_10_16,ERDRE-EN-ANJOU,13.75,1.8,0.1,10.845,NA
2001_10_17,ERDRE-EN-ANJOU,16.45,1.3,6.1,10.78972222,NA
2001_10_18,ERDRE-EN-ANJOU,15.7,2,0.2,10.73472222,NA
2001_10_19,ERDRE-EN-ANJOU,16.85,1.7,16,10.67972222,NA
2001_10_20,ERDRE-EN-ANJOU,15.9,1.3,0.1,10.625,NA
2001_10_21,ERDRE-EN-ANJOU,14.35,1.1,2,10.57055556,NA
2001_10_22,ERDRE-EN-ANJOU,16.75,1.2,1.2,10.51638889,NA
2001_10_23,ERDRE-EN-ANJOU,15.25,1.5,2.7,10.46222222,NA
2001_10_24,ERDRE-EN-ANJOU,15.2,1.7,0.6,10.40861111,NA
2001_10_25,ERDRE-EN-ANJOU,14.3,1.4,0.2,10.35472222,NA
2001_10_26,ERDRE-EN-ANJOU,13.85,1.3,4.1,10.30138889,NA
2001_10_27,ERDRE-EN-ANJOU,15.75,1,0.5,10.24888889,NA
2001_10_28,ERDRE-EN-ANJOU,13.75,1.4,0.4,10.19583333,NA
2001_10_29,ERDRE-EN-ANJOU,12.15,0.8,0.2,10.14361111,NA
2001_10_30,ERDRE-EN-ANJOU,16.75,1.8,0.2,10.09166667,NA
