date,site,mean_temperature,ETP,RR,daylength,Cut
2000_12_01,ERDRE-EN-ANJOU,12.35,0.8,4.6,8.731388889,NA
2000_12_02,ERDRE-EN-ANJOU,9.55,0.2,8.9,8.704166667,NA
2000_12_03,ERDRE-EN-ANJOU,8.55,0.9,2.7,8.677777778,NA
2000_12_04,ERDRE-EN-ANJOU,11.15,1.1,0.4,8.653055556,NA
2000_12_05,ERDRE-EN-ANJOU,11.75,1.2,1.4,8.629444444,NA
2000_12_06,ERDRE-EN-ANJOU,10.85,0.6,12.7,8.606944444,NA
2000_12_07,ERDRE-EN-ANJOU,13.1,1,4.4,8.585833333,NA
2000_12_08,ERDRE-EN-ANJOU,11.7,1.3,2.2,8.566388889,NA
2000_12_09,ERDRE-EN-ANJOU,10.55,1.1,4.4,8.548055556,NA
2000_12_10,ERDRE-EN-ANJOU,12,1.4,0.3,8.531111111,NA
2000_12_11,ERDRE-EN-ANJOU,12.55,0.7,4.5,8.515555556,NA
2000_12_12,ERDRE-EN-ANJOU,12.7,1.2,2.8,8.501388889,NA
2000_12_13,ERDRE-EN-ANJOU,12.5,1.5,8.9,8.488611111,NA
2000_12_14,ERDRE-EN-ANJOU,8.8,0.4,3.8,8.477222222,NA
2000_12_15,ERDRE-EN-ANJOU,6.1,0.7,0.4,8.4675,NA
2000_12_16,ERDRE-EN-ANJOU,6.05,0.7,0.7,8.459444444,NA
2000_12_17,ERDRE-EN-ANJOU,7,0.8,6.9,8.452222222,NA
2000_12_18,ERDRE-EN-ANJOU,9.15,0.2,0.4,8.447222222,NA
2000_12_19,ERDRE-EN-ANJOU,11,0.8,0.2,8.443333333,NA
2000_12_20,ERDRE-EN-ANJOU,8.35,0.6,0.2,8.440833333,NA
2000_12_21,ERDRE-EN-ANJOU,8.75,0.8,0,8.44,NA
2000_12_22,ERDRE-EN-ANJOU,6.95,0.9,0.2,8.440555556,NA
2000_12_23,ERDRE-EN-ANJOU,8.2,1,0,8.443055556,NA
2000_12_24,ERDRE-EN-ANJOU,7.05,0.6,1.5,8.446666667,NA
2000_12_25,ERDRE-EN-ANJOU,7.8,0.2,10,8.451666667,NA
2000_12_26,ERDRE-EN-ANJOU,7.6,0.3,5.9,8.458611111,NA
2000_12_27,ERDRE-EN-ANJOU,5.75,0.3,0.1,8.466388889,NA
2000_12_28,ERDRE-EN-ANJOU,3,0.4,1.8,8.476388889,NA
2000_12_29,ERDRE-EN-ANJOU,4.85,0.9,0.6,8.487222222,NA
2000_12_30,ERDRE-EN-ANJOU,1.75,0.7,0,8.5,NA
2000_12_31,ERDRE-EN-ANJOU,3.5,0.9,12.3,8.513888889,NA
2001_01_01,ERDRE-EN-ANJOU,6.65,0.3,4.2,8.529444444,NA
2001_01_02,ERDRE-EN-ANJOU,9.9,1.1,5,8.546388889,NA
2001_01_03,ERDRE-EN-ANJOU,8.05,0.6,8.8,8.564722222,NA
2001_01_04,ERDRE-EN-ANJOU,9.65,0.7,25,8.584166667,NA
2001_01_05,ERDRE-EN-ANJOU,11.25,0.8,6.8,8.605277778,NA
2001_01_06,ERDRE-EN-ANJOU,7.6,1,0.1,8.6275,NA
2001_01_07,ERDRE-EN-ANJOU,4.6,0.2,1.9,8.651111111,NA
2001_01_08,ERDRE-EN-ANJOU,3.8,0.7,0.1,8.675833333,NA
2001_01_09,ERDRE-EN-ANJOU,4.6,0.8,4.4,8.702222222,NA
2001_01_10,ERDRE-EN-ANJOU,9,0.8,0.1,8.729722222,NA
2001_01_11,ERDRE-EN-ANJOU,9.35,0.4,10.5,8.758055556,NA
2001_01_12,ERDRE-EN-ANJOU,7.65,0.3,2.2,8.788055556,NA
2001_01_13,ERDRE-EN-ANJOU,3.75,1,0,8.818888889,NA
2001_01_14,ERDRE-EN-ANJOU,1.4,1.4,0,8.851111111,NA
2001_01_15,ERDRE-EN-ANJOU,-0.8,0.6,0,8.884444444,NA
2001_01_16,ERDRE-EN-ANJOU,2.7,0.6,0,8.918333333,NA
2001_01_17,ERDRE-EN-ANJOU,3.9,0.5,0,8.953611111,NA
2001_01_18,ERDRE-EN-ANJOU,4.05,0.3,0,8.99,NA
2001_01_19,ERDRE-EN-ANJOU,4.3,0.4,0,9.027222222,NA
2001_01_20,ERDRE-EN-ANJOU,3.1,0.5,3.8,9.065555556,NA
2001_01_21,ERDRE-EN-ANJOU,6.35,0.2,4,9.104722222,NA
2001_01_22,ERDRE-EN-ANJOU,8.9,0.6,4.7,9.144722222,NA
2001_01_23,ERDRE-EN-ANJOU,10.15,0.7,22.4,9.185555556,NA
2001_01_24,ERDRE-EN-ANJOU,10.35,1.4,4.4,9.227222222,NA
2001_01_25,ERDRE-EN-ANJOU,8,1.2,6.5,9.269722222,NA
2001_01_26,ERDRE-EN-ANJOU,5.85,0.6,8.4,9.313333333,NA
2001_01_27,ERDRE-EN-ANJOU,6.45,0.9,0.1,9.3575,NA
2001_01_28,ERDRE-EN-ANJOU,6.5,0.6,0,9.401944444,NA
2001_01_29,ERDRE-EN-ANJOU,4.5,1,0,9.4475,NA
2001_01_30,ERDRE-EN-ANJOU,2.1,0.1,3.1,9.493611111,NA
2001_01_31,ERDRE-EN-ANJOU,7.1,0.7,1,9.540555556,NA
2001_02_01,ERDRE-EN-ANJOU,3.15,0.8,0,9.588055556,NA
2001_02_02,ERDRE-EN-ANJOU,5.45,0.4,1.4,9.636111111,NA
2001_02_03,ERDRE-EN-ANJOU,9.15,0.5,1.4,9.684444444,NA
2001_02_04,ERDRE-EN-ANJOU,11.8,1.5,6.1,9.733611111,NA
2001_02_05,ERDRE-EN-ANJOU,11.15,1.1,7,9.783333333,NA
2001_02_06,ERDRE-EN-ANJOU,11.5,1.1,2.6,9.833333333,NA
2001_02_07,ERDRE-EN-ANJOU,10.1,0.7,7.3,9.883888889,NA
2001_02_08,ERDRE-EN-ANJOU,9.75,1.1,4.2,9.934722222,NA
2001_02_09,ERDRE-EN-ANJOU,5.7,1.2,0.6,9.986388889,NA
2001_02_10,ERDRE-EN-ANJOU,6.2,0.6,0.2,10.03805556,NA
2001_02_11,ERDRE-EN-ANJOU,12.5,1.1,0.2,10.09055556,NA
2001_02_12,ERDRE-EN-ANJOU,11.55,1.5,0,10.14305556,NA
2001_02_13,ERDRE-EN-ANJOU,8.95,2,0,10.19583333,NA
2001_02_14,ERDRE-EN-ANJOU,6.1,1.7,0,10.24916667,NA
2001_02_15,ERDRE-EN-ANJOU,3.75,1.2,0.2,10.30277778,NA
2001_02_16,ERDRE-EN-ANJOU,5.85,1.4,0,10.35694444,NA
2001_02_17,ERDRE-EN-ANJOU,6.75,1.5,0,10.41111111,NA
2001_02_18,ERDRE-EN-ANJOU,4.65,1.5,0,10.46555556,NA
2001_02_19,ERDRE-EN-ANJOU,1.4,0.7,0,10.52055556,NA
2001_02_20,ERDRE-EN-ANJOU,4.4,1.4,0,10.57555556,NA
2001_02_21,ERDRE-EN-ANJOU,4.1,1.2,0,10.63055556,NA
2001_02_22,ERDRE-EN-ANJOU,9.7,1.2,0.1,10.68611111,NA
2001_02_23,ERDRE-EN-ANJOU,7.4,1.3,0.6,10.74166667,NA
2001_02_24,ERDRE-EN-ANJOU,3.95,1.7,0,10.7975,NA
2001_02_25,ERDRE-EN-ANJOU,-1.3,0.2,0.6,10.85361111,NA
2001_02_26,ERDRE-EN-ANJOU,1.95,0.7,7.9,10.91,NA
2001_02_27,ERDRE-EN-ANJOU,3.25,0.7,7.3,10.96638889,NA
2001_02_28,ERDRE-EN-ANJOU,3.6,0.9,0.1,11.02277778,NA
