TPS,Espacement,Densite,id plante,talle,rang,Phase,taille feuille,taille gaine,taille limbe
1000.0,50.0,400,1,1,2,mature,76.05065171232357,12.251646299114983,63.79900541320859
1000.0,50.0,400,1,1,3,mature,108.09349582751666,13.934300556964502,94.15919527055217
1000.0,50.0,400,1,1,4,mature,111.50249994000495,16.268365722169516,95.23413421783543
1000.0,50.0,400,1,1,5,mature,125.85950449310997,24.450496068595278,101.40900842451468
1000.0,50.0,400,1,1,6,mature,139.57161730138338,28.045809897213992,111.52580740416934
1000.0,50.0,400,1,1,7,mature,179.2797761449267,38.661136609425,140.61863953550161
1000.0,50.0,400,1,1,8,mature,195.7402306309589,43.821773430517354,151.91845720044157
1000.0,50.0,400,1,1,9,mature,236.04983054118946,54.63862280713251,181.41120773405686
1000.0,50.0,400,1,1,10,mature,262.2910017103932,63.6115365457525,198.6794651646406
1000.0,50.0,400,1,1,11,mature,262.2515683085565,63.544115511579975,198.7074527969764
1000.0,50.0,400,2,1,2,mature,76.05065171232357,12.251646299114983,63.79900541320859
1000.0,50.0,400,2,1,3,mature,108.09349582751666,13.934300556964502,94.15919527055217
1000.0,50.0,400,2,1,4,mature,111.50249994000495,16.268365722169516,95.23413421783543
1000.0,50.0,400,2,1,5,mature,125.85950449310997,24.450496068595278,101.40900842451468
1000.0,50.0,400,2,1,6,mature,139.57161730138338,28.045809897213992,111.52580740416934
1000.0,50.0,400,2,1,7,mature,179.2797761449267,38.661136609425,140.61863953550161
1000.0,50.0,400,2,1,8,mature,195.7402306309589,43.821773430517354,151.91845720044157
1000.0,50.0,400,2,1,9,mature,236.04983054118946,54.63862280713251,181.41120773405686
1000.0,50.0,400,2,1,10,mature,262.2910017103932,63.6115365457525,198.6794651646406
1000.0,50.0,400,2,1,11,mature,262.2515683085565,63.544115511579975,198.7074527969764
1000.0,50.0,400,3,1,2,mature,66.77725074075389,12.193699541938187,54.58355119881571
1000.0,50.0,400,3,1,3,mature,97.02528107954932,16.374293980188376,80.65098709936095
1000.0,50.0,400,3,1,4,mature,103.44403469858017,20.74370205856959,82.70033264001059
1000.0,50.0,400,3,1,5,mature,118.3288265445589,24.4196461719849,93.90918037257399
1000.0,50.0,400,3,1,6,mature,133.89749683354339,27.706110710311314,106.19138612323206
1000.0,50.0,400,3,1,7,mature,152.00027515446655,33.524156359621344,118.4761187948452
1000.0,50.0,400,3,1,8,mature,160.27957050207974,35.53933128681791,124.74023921526178
1000.0,50.0,400,3,1,9,mature,185.2583286279667,43.10604852359779,142.15228010436894
1000.0,50.0,400,3,1,10,mature,189.70815571509212,43.94134093494006,145.76681478015212
1000.0,50.0,400,3,1,11,mature,215.82165476156186,50.86924258891793,164.952412172644
1000.0,50.0,400,4,1,2,mature,80.19132705342517,10.825533293978285,69.36579375944689
1000.0,50.0,400,4,1,3,mature,82.97573822780801,11.651364684824776,71.32437354298322
1000.0,50.0,400,4,1,4,mature,122.26770577584809,23.13543340159158,99.1322723742565
1000.0,50.0,400,4,1,5,mature,122.24922045912487,24.166600277288353,98.08262018183652
1000.0,50.0,400,4,1,6,mature,180.71136958427385,37.76446293500979,142.94690664926406
1000.0,50.0,400,4,1,7,mature,186.38971673727258,39.420469020633774,146.96924771663873
1000.0,50.0,400,4,1,8,mature,255.0775885098588,60.21448243034051,194.8631060795184
1000.0,50.0,400,4,1,9,mature,261.606569390265,62.02698190505748,199.5795874852077
1000.0,50.0,400,4,1,10,mature,261.606569390265,62.02698190505748,199.5795874852077
