temp_vern_min,temp_vern_inter,temp_vern_max,daily_vern_rate,basic_vern_rate,photoperiod_min,photoperiod_max,max_photo_ind_rate,coeff_primordia_emission_vegetative,coeff_primordia_emission_reproductive,derivationLength,option_tallage,option_senescence,option_floraison,meteo_filename,sowing_date,site,value_C,Premiecroiss,PS_compensation_point,leaf_primary_induction_coeff,leaf_secondary_induction_coeff,increase_growth_Premiecroiss,increase_growth_C,name,Scenario
0,6,13,0.00135,0.01,10,16,1,1,2,4400,False,False,False,environnement_morphoflor.csv,2018_01_16,treatment_4_bloc_1,2.4,81.92163517,14.1,1,1,1,1,simulation_sans_vern,0
0,6,13,0.00135,0.01,10,16,0.1,1,3,4800,False,False,True,environnement_morphoflor.csv,2018_11_13,treatment_2_bloc_1,1.8,93,14.1,1,0.1,0.5,1.17,simulation_nouvelle,1
0,6,13,0.00135,0.01,10,16,0.1,1,3,4800,False,False,True,environnement_morphoflor.csv,2018_11_13,treatment_2_bloc_1,1.8,93,14.1,1,0.1,0.5,1.17,simulation_ancienne,1000
